Name													CRC32		Size
Kidou Senshi Gundam - Cross Dimension 0079 [cd79].rsn							55047F33	82311
Cannon Fodder [cf].rsn											4995EDA9	64524
College Football USA '97 [cfu97].rsn									4F609C89	94629
Cosmo Gang the Puzzle [cgp].rsn										18BFA5C5	49648
Cosmo Gang the Video [cgv].rsn										D40D75E9	197225
BS Cheap de Gorgeous [cheap].rsn									7BE1391D	49181
Chinhai [chinh].rsn											99D71CD0	87185
Chou Aniki - Bakuretsu Rantou Hen [cho].rsn								E996DD5D	180929
Kyle Petty's No Fear Racing (Circuit USA) [circ].rsn							3E94B472	182198
Civilization [civ].rsn											FDB328AE	56647
Cyber Knight [ck].rsn											4BF8E757	112584
Cyber Knight 2 [ck2].rsn										C1745EE0	135212
Choplifter 3 [cl3].rsn											0706FC7B	92218
Clay Fighter [clay].rsn											941CB7F7	164686
Cliffhanger [cliff].rsn											D42F5549	65260
Clue [clue].rsn												6BECF65E	64086
Capcom's MVP Football [cmf].rsn										7C842D1A	104165
Cameltry (On the Ball) [cml].rsn									EDDB4A9D	42878
Cybernator [cn].rsn											A8242FEC	103622
Congo's Caper [cngc].rsn										667C25BD	56336
Computer Nouryoku Kaiseki Ultra Baken [cnkub].rsn							30557D51	35002
Contra 3 [cntr3].rsn											159E72E5	101609
Columns [col].rsn											D58BBF00	49873
BS Columbus no Tamagoyaki [colu].rsn									8E4D4BB6	47179
Cool World [coolw].rsn											AC07F5EB	92900
Cu-On-Pa [cop].rsn											287B5BE0	141820
Coron Land [corl].rsn											B44DFA7E	117999
Corn Buster [cornb].rsn											D30A5B0B	214947
Championship Pool [cp].rsn										E989A7E1	96994
Cosmo Police Galivan 2 [cpg2].rsn									DE671AA1	26027
Cal Ripken Jr. Baseball [crjb].rsn									760D4D2C	72746
Chuck Rock [crock].rsn											987CFF6C	83767
Crayon Shin-chan - Arashi wo yobu Enji [crs].rsn							166BA2DA	214960
Crayon Shin-chan 2 [crs2].rsn										6F2B4C03	72809
Crayon Shin-chan - Nagagutsu Dobon!! [crsnd].rsn							FED7D8F0	105923
